imdbid,role,talentid
1764183,actor,0000215
0375173,actor,0000215
1294213,actor,0000215
0179098,actor,0000215
0368222,actor,0000215
0368709,actor,0000215
1588334,actor,0000215
2103254,actor,0000215
0280760,actor,0000215
0358135,actor,0000215
0461770,actor,0000215
1226232,actor,0000215
0918927,actor,0000450
0134119,actor,0000450
0285861,actor,0000450
0307901,actor,0000450
0292963,actor,0000450
1560747,actor,0000450
0343135,actor,0000450
0383028,actor,0000450
1124035,actor,0000450
1972571,actor,0000450
0147612,actor,0000450
1596753,actor,0000450
0472062,actor,0000450
0272338,actor,0000450
1210166,actor,0000450
0775529,actor,0000450
0129290,actor,0000450
1278379,actor,0000450
0317919,actor,0000450
0155711,actor,0000450
0379725,actor,0000450
0117998,actor,0000450
1668200,actor,0000218
0808244,actor,0000218
0116209,actor,0000218
1266029,actor,0000218
0264796,actor,0000218
1315962,actor,0000218
0119314,actor,0000218
0280707,actor,0000218
0156934,actor,0000218
0783608,actor,0000218
1602613,actor,0000218
0808339,actor,0000218
0305224,actor,0000197
0116996,actor,0000197
0115710,actor,0000197
0119822,actor,0000197
0257360,actor,0000197
1341188,actor,0000197
0407887,actor,0000197
0112744,actor,0000197
0237572,actor,0000197
0337741,actor,0000197
0825232,actor,0000197
1935179,actor,0000190
0816692,actor,0000190
0117913,actor,0000190
0976247,actor,0000190
0251127,actor,0000190
0253556,actor,0000190
0120769,actor,0000190
0821640,actor,0000190
0118884,actor,0000190
1704573,actor,0000190
0318649,actor,0000190
0264616,actor,0000190
0209475,actor,0000190
0993846,actor,0000190
0758794,actor,0000190
0790636,actor,0000190
0770752,actor,0000190
0118607,actor,0000190
0116823,actor,0000190
0268690,actor,0000190
0417217,actor,0000190
0112571,actor,0000190
0427229,actor,0000190
1496422,actor,0000190
0141926,actor,0000190
1189340,actor,0000190
1726669,actor,0000190
1915581,actor,0000190
0131369,actor,0000190
0355954,actor,0001347
0120618,actor,0001347
1523939,actor,0001347
0947798,actor,0001347
2226417,actor,0001347
0274812,actor,0000690
0165854,actor,0000690
2387433,actor,0799777
0486640,actor,0799777
2582802,actor,0799777
0335245,actor,0799777
1225822,actor,0799777
2355495,actor,0799777
0413300,actor,0799777
0236493,actor,0799777
1613062,actor,0799777
1095174,actor,0799777
0338751,actor,0000285
0357054,actor,0000285
0425253,actor,0000285
0283503,actor,0000285
0239395,actor,0000285
0318374,actor,0000285
1046163,actor,0000285
0120749,actor,0000285
0173840,actor,0000285
0116731,actor,0000285
0343135,actor,0000285
3316960,actor,0000285
0116508,actor,0000285
1078588,actor,0000285
0312528,actor,0000285
0343737,actor,0000285
0125971,actor,0000285
1230414,actor,0000285
0439289,actor,0000285
0369441,actor,0000285
0116410,actor,0000285
0205461,actor,0000285
0363780,actor,0000285
2334873,actor,0000285
1446192,actor,0000285
0368709,actor,0000285
2053425,actor,0182839
1747958,actor,0182839
2737050,actor,0182839
0875034,actor,0182839
1951181,actor,0182839
0844286,actor,0004778
0838221,actor,0004778
0216799,actor,0004778
