award,imdbid,kind,talentid,year
2,0084335,N,0000651,1983
3,0084805,W,0001448,1983
3,0084917,N,0000335,1983
3,0084805,N,0000414,1983
3,0083967,N,0822535,1983
3,0084865,N,0000690,1983
0,0086879,W,0000719,1985
0,0086879,N,0001371,1985
0,0087553,N,0001832,1985
0,0088172,N,0000313,1985
0,0088322,N,0001215,1985
4,0086879,W,0951763,1985
4,0088146,N,0422484,1985
4,0088146,N,0777531,1985
4,0088146,N,0658404,1985
1,0087553,W,0628955,1985
1,0088146,N,0128360,1985
1,0087921,N,0000518,1985
1,0087538,N,0001552,1985
1,0087365,N,0724732,1985
2,0087921,W,0000398,1985
2,0087892,N,0001114,1985
2,0087091,N,0001448,1985
2,0086992,N,0000603,1985
2,0088007,N,0000651,1985
3,0087892,W,0001919,1985
3,0087932,N,0656183,1985
3,0087781,N,0000335,1985
3,0087921,N,0001080,1985
3,0088213,N,0001441,1985
0,0090863,W,0000056,1987
0,0090557,N,0330143,1987
0,0091538,N,0001364,1987
0,0090830,N,0000458,1987
0,0091886,N,0000249,1987
4,0091763,W,0465745,1987
4,0091867,N,0580337,1987
1,0091167,W,0000323,1987
1,0091763,N,0000297,1987
1,0091763,N,0000353,1987
1,0091867,N,0001186,1987
1,0091217,N,0000454,1987
2,0090830,W,0559144,1987
2,0091554,N,0000404,1987
2,0090886,N,0000651,1987
2,0091738,N,0000678,1987
2,0090605,N,0000244,1987
3,0091167,W,0001848,1987
3,0090886,N,0002128,1987
3,0090830,N,0001453,1987
3,0090863,N,0001512,1987
3,0091867,N,0001749,1987
0,0095953,W,0000163,1989
0,0095647,N,0000432,1989
0,0094737,N,0000158,1989
0,0094027,N,0001579,1989
0,0093713,N,0001884,1989
4,0095953,W,0425741,1989
4,0096463,N,0926824,1989
1,0095159,W,0000177,1989
1,0095530,N,0000027,1989
1,0096316,N,0001445,1989
1,0096018,N,0000203,1989
1,0095593,N,0001777,1989
2,0094608,W,0000149,1989
2,0094947,N,0000335,1989
2,0096463,N,0000429,1989
2,0094924,N,0000658,1989
2,0095243,N,0000244,1989
3,0094606,W,0000133,1989
3,0096463,N,0000349,1989
3,0095647,N,0000531,1989
3,0094947,N,0000201,1989
3,0096463,N,0000244,1989
0,0097937,W,0000358,1990
